h3_id_7,no_of_points,h3_center_point
873c1640bffffff,4,"(25.31238806264238, 82.9578210013321)"
873c1640dffffff,12,"(25.347939169433356, 82.94535217934816)"
873c16410ffffff,2,"(25.273752749984858, 82.84106640564956)"
873c16428ffffff,1,"(25.375748316859482, 82.9095188981563)"
873c16429ffffff,1,"(25.38347390975156, 82.93288140198145)"
873c1642bffffff,2009,"(25.3618466858841, 82.92743520505378)"
873c16440ffffff,4,"(25.378804042138928, 83.03885453501607)"
873c16442ffffff,20,"(25.357171232841598, 83.03339598639693)"
873c16444ffffff,38,"(25.39272161798902, 83.02092758772238)"
873c16446ffffff,2171,"(25.37109217582371, 83.01547087369963)"
873c16450ffffff,768,"(25.327822027136065, 83.00456061601592)"
873c16451ffffff,96,"(25.335534668665368, 83.02793849468361)"
873c16452ffffff,1676,"(25.30618133218442, 82.99910707193877)"
873c16453ffffff,125,"(25.313894355396936, 83.02248205966826)"
873c16454ffffff,152,"(25.34174382094886, 82.98663982495094)"
873c16455ffffff,14,"(25.349458976945318, 83.0100152165335)"
873c16456ffffff,8770,"(25.320106490079663, 82.98118811625886)"
873c1645effffff,2,"(25.321604482512317, 83.04586242101117)"
873c16469ffffff,2,"(25.437471761596694, 83.09656979916352)"
873c16470ffffff,4,"(25.377289949830857, 82.97417061865464)"
873c16472ffffff,120,"(25.3556597343234, 82.96871968994382)"
873c16473ffffff,12,"(25.363377404836314, 82.99209259003328)"
873c16476ffffff,143,"(25.36956976475606, 82.95080021446434)"
873c164e0ffffff,8,"(25.27682061056327, 82.97028786721233)"
873c164e1ffffff,25,"(25.284536897885094, 82.99365458409395)"
873c164e2ffffff,1,"(25.25517207351527, 82.96483932644136)"
873c164e4ffffff,1,"(25.290746618046605, 82.95237324101429)"
873c164e5ffffff,78,"(25.298465418018964, 82.97573746374873)"
873c164e6ffffff,2,"(25.269101442009557, 82.9469265364106)"
873c164ebffffff,39,"(25.264370615846108, 83.05286784624255)"
873c164ecffffff,18,"(25.292250298829256, 83.0170266811429)"
873c164eeffffff,7,"(25.2706025047615, 83.01157235889963)"
873c164f0ffffff,4,"(25.225799918835783, 82.93603629351185)"
873c164f5ffffff,1,"(25.24745254033572, 82.94148088731258)"
873c164f6ffffff,37,"(25.218077158056165, 82.91268613901737)"
